Date,Brigade enterprises,Suzlon,Omaxe,DLF,Infosys,HDFC bank,HCL tech,Welspun india,Britannia,Asahi india
01-08-2007,173.566666,170.259995,94.634712,597.5,197.931244,7.818,50.087502,3.915,138.125,1.799015
01-09-2007,169.133331,178.929993,97.062263,761.349976,218.637497,9.049,58.287498,3.92,144.089996,1.750181
01-10-2007,112.366669,233.470001,77.204094,945.599976,174.756256,8.495,48.612499,3.655,135.035004,1.599994
01-11-2007,136.433334,219.660004,45.805111,935,173.618744,6.56,43.224998,2.375,117.32,17.699915
01-12-2007,125,260.440002,38.124496,1072,155.481247,5.72,34.375,1.8,110.860001,16.681776
01-01-2008,71.133331,256.190002,51.336746,818.950012,139.431244,7.138,28.825001,2.025,132.244995,17.280682
01-02-2008,83.300003,195.880005,38.681641,777.799988,163.331253,5.766,29.025,1.605,139.065002,19.381453
01-03-2008,83.400002,208.339996,35.418373,646,153.90625,5.1,25.049999,1.41,131.509995,19.501232
01-04-2008,62.599998,216.710007,37.328579,703.700012,165.487503,6.093,25.512501,2.135,140.005005,17.699915
01-05-2008,23.966665,240.699997,43.77552,587.400024,188.65625,7.402,32.525002,2.135,160,21.330193
01-06-2008,25.433332,247,81.50206,395.899994,200.637497,9.95,41.724998,3.62,171.440002,26.499193
01-07-2008,28.9,261.619995,79.114304,514,222.0625,10.313,46.487499,3.38,159.535004,28.779636
01-08-2008,24.933332,290.359985,85.242874,489.149994,258.043762,9.777,60.25,3.94,186.875,36.348862
01-09-2008,21.166666,260.959991,99.012268,351.100006,266.393738,9.851,75,5.56,166.395004,41.199982
01-10-2008,22.700001,228.529999,104.742882,223.050003,288.299988,11.837,85.199997,6.045,156.514999,47.728035
01-11-2008,34.033333,208.460007,77.96022,199.100006,275.774994,11.061,76.5625,8.355,166.375,49.897907
01-12-2008,66.433334,200.300003,74.338791,280.850006,297.418762,13.455,84.275002,8.425,160.309998,60.079277
01-01-2009,48.633331,237.5,75.890831,176.399994,325.137512,13.008,92.824997,9.37,168.039993,73.098526
01-02-2009,58.599998,257.809998,74.975525,150.600006,309.4375,11.83,86.699997,7.75,156.649994,66.381592
01-03-2009,84.466667,299.049988,74.219398,167.5,325.243744,12.169,91.775002,7.825,167.345001,62.028015
01-04-2009,86.933334,254.210007,72.309196,231.899994,326.993744,13.939,89.599998,9.15,159.904999,62.728275
01-05-2009,77.133331,253.169998,75.851036,414.700012,342.268738,14.912,98.612503,8.865,165.485001,63.331783
01-06-2009,89.566666,290.220001,74.696953,312.799988,332.25,13.9,95.587502,8.09,170.889999,49.77813
01-07-2009,87.666664,394.709991,75.174507,396.600006,348.875,14.297,91.037498,7.5,185.675003,47.778709
01-08-2009,97.166664,379.390015,93.520424,423,348.549988,16.458,98.050003,7.77,196.835007,52.929283
01-09-2009,93.633331,387.359985,102.235733,438,339.231262,15.98,95.637497,6.775,204.975006,61.40147
01-10-2009,91.666664,308.899994,110.75206,369,381.3125,18.437,105.1875,6.3,218.975006,62.682205
01-11-2009,94.533333,281.399994,118.830635,350.450012,371.462494,17.296,100.949997,6.675,206.824997,60.401764
01-12-2009,89.833336,263.799988,110.354103,362.049988,381.375,17.635,100.9375,6.06,201.225006,67.528717
01-01-2010,89.699997,287.200012,117.676552,378.5,430.34375,16.711,114.0625,5.99,206.75,74.628036
01-02-2010,89.199997,277.399994,105.499001,298.450012,389.712494,14.441,122.6875,4.64,189.149994,82.229507
01-03-2010,92.066666,215.949997,106.692879,308.899994,374.637512,14.711,110.612503,3.765,168.175003,83.901833
01-04-2010,97.599998,223.100006,109.12043,310.700012,405.162506,16.993999,119.487503,4.27,186.25,84.049255
01-05-2010,90.133331,218.050003,104.742882,276.700012,363.28125,17.209999,130.300003,5.79,184.649994,84.500732
01-06-2010,77.400002,152.100006,102.39492,288.649994,348.206238,16.283001,128.699997,4.76,210.25,89.900085
01-07-2010,75.966667,44.400002,102.872467,301.399994,363.806244,17.639,123.6875,4.18,239.600006,86.150024
01-08-2010,62.066666,41.650002,109.279617,301.950012,346.987488,17.379999,121.699997,4.1,240.975006,86.080917
01-09-2010,63.733334,62.299999,105.499001,378.200012,292.868744,16.68,410.950012,2.575,244.524994,80.529541
01-10-2010,59.733334,47.25,110.990837,350.700012,316.631256,14.575,102.287498,2.74,234.899994,76.954544
01-11-2010,61.799999,40.650002,116.641861,306.75,359.693756,15.83,110.9375,3.255,234.524994,77.203323
01-12-2010,53.299999,42.349998,112.821449,291.950012,325.856262,13.83,95.949997,2.69,234.524994,89.651306
01-01-2011,48.400002,63.900002,108.682678,223.899994,345.956238,13.14,96.987503,2.47,224.300003,90.904404
01-02-2011,47,97.900002,118.631653,211.850006,343.25,15.515,109.412498,4.205,226.774994,109.101868
01-03-2011,43.766666,103.75,123.526558,268.549988,360.431244,17.174999,121.237503,3.685,260.200012,110.898575
01-04-2011,43.433334,99.800003,121.457169,222.800003,358.287506,17.049999,120.8125,4.535,296.5,97.897758
01-05-2011,42.933334,93.699997,120.502068,238.949997,307.762512,17.165001,128.012497,4.53,280.899994,101.150261
01-06-2011,35.733334,91.599998,115.567368,210.449997,303.668762,13.98,126.012497,5.25,267.325012,92.995956
01-07-2011,27.933332,66.849998,122.133698,231,313.649994,16.299999,119.112503,5.15,262.674988,85.947319
01-08-2011,40.866665,78.800003,122.014313,197.100006,278.368744,16.955,129.637497,5.325,232.324997,84.049255
01-09-2011,45,90.349998,120.382675,218.899994,295.206238,16.790001,136.100006,5.185,250.5,86.804214
01-10-2011,38.233334,77.25,125.755127,242.149994,316.868744,18.790001,144.362503,5.185,237.875,114.998764
01-11-2011,36.866665,71.849998,124.959206,208.050003,295.375,18.695,152,5.17,241.824997,118.748825
01-12-2011,32.333332,71.849998,132.042877,183.100006,304.606262,21.059999,164.125,6.6,249.100006,133.251511
01-01-2012,37.033333,68.949997,129.734726,216.050003,289.837494,20.360001,154.675003,6.17,249.375,132.449905
01-02-2012,31.566666,56.25,130.610229,226.5,348.6875,20.110001,172,8.015,241,139.295837
01-03-2012,31.299999,57.900002,119.347984,201.75,363.375,19.025,180.850006,7.18,240.75,123.153069
01-04-2012,39.366665,56.5,118.671455,187,361.168762,18.709999,198.75,6.805,262.475006,119.246376
01-05-2012,43.633331,46.25,126.750023,184.600006,279.431244,21.219999,180.350006,6.295,289.924988,116.049149
01-06-2012,48.799999,52.400002,119.666359,198.550003,301.462494,20.120001,186.212494,5.66,362.100006,104.052643
01-07-2012,62.099998,55.450001,113.299004,209.050003,312.356262,18.120001,194,6.25,337.149994,104.153999
01-08-2012,52.566666,47.75,110.831657,195.050003,371.206238,16.450001,234.387497,4.845,349.549988,104.697617
01-09-2012,46.466667,54.700001,111.229614,233.25,388.231262,14.49,260.112488,5.95,351.200012,106.650963
01-10-2012,38.033333,49.400002,108.085739,202.800003,376.625,15.39,271.799988,6.14,411,107.001091
01-11-2012,46.966667,46.650002,111.468391,209.800003,413.737488,18.125,273.837494,6.785,469.774994,100.551361
01-12-2012,45.633331,44.599998,127,230.600006,419.318756,16.59,271.5,6.86,438.25,100.403938
01-01-2013,40.333332,53.150002,126.349998,277.600006,435.706238,17.219999,315.637512,7.5,460.299988,117.145607
01-02-2013,33.099998,53.900002,123.199997,277.350006,462.637512,15.645,365.549988,8.785,441.274994,98.846786
01-03-2013,33.433334,47.950001,124.5,234.699997,478.106262,16.795,393.887512,10.285,444.200012,85.403702
01-04-2013,34.966667,52.400002,126.900002,238.199997,410.350006,20.514999,347.674988,10.07,421.700012,66.902176
01-05-2013,37.400002,36.849998,127.550003,194.699997,397.600006,20.025,350.725006,12.914999,432.024994,60.996059
01-06-2013,37.433334,36.450001,143.75,181.25,367.424988,22.514999,354.637512,12.535,440.549988,58.102894
01-07-2013,40.266666,38.549999,141.800003,149.800003,406.943756,23.41,375.037506,17.51,504.200012,55.053089
01-08-2013,39.266666,23.200001,126.5,129.800003,420.956238,23.700001,388.774994,23.855,574.200012,52.850967
01-09-2013,36.533333,18,126.699997,128.050003,449.850006,24.844999,407.6875,21.780001,621.450012,51.901936
01-10-2013,40.766666,28,129.050003,151.649994,468.46875,23.290001,428.6875,30.02,696.025024,52.500839
01-11-2013,49.033333,26.6,131.399994,152.100006,506.40625,26.215,402.100006,29.885,765.400024,40.697823
01-12-2013,63.766666,25.25,127.699997,166.699997,544.981262,26.645,415.587494,37.27,823.974976,41.20459
01-01-2014,82.566666,22.75,124.900002,137.5,493.137512,25.375,399.225006,32.959999,920.049988,41.20459
01-02-2014,85.466667,17.9,127.150002,141.149994,535.474976,28.49,447.9375,38.325001,944.5,39.997566
01-03-2014,83.433334,18.6,127.599998,176.449997,566.4375,31.004999,505.5,35.884998,1041.724976,38.495701
01-04-2014,95.466667,18.450001,135.050003,140.149994,554.587524,29.445,490.200012,35.575001,1079.275024,41.352013
01-05-2014,97.099998,15,132.75,210.100006,485.5625,28.42,440.274994,47.384998,1098.925049,41.20459
01-06-2014,93.599998,17.75,137.050003,215.050003,505.787506,29.809999,505.375,56.560001,1272.349976,61.548893
01-07-2014,102.066666,15.8,134.100006,198.25,492.174988,30.264999,459.875,64.285004,1381.474976,50.003868
01-08-2014,113.633331,19.549999,134.600006,177.300003,538.525024,31.235001,499.125,89.709999,1576.824951,59.650829
01-09-2014,106.933334,18.549999,133.300003,150.850006,547.200012,28.495001,485.524994,77.184998,1464.974976,55.799416
01-10-2014,95.366669,24.549999,134.050003,124.75,580.974976,30.545,491.075012,84.514999,1541,62.7467
01-11-2014,101.23333,16,135.100006,149.100006,567.724976,30.57,435.850006,71.864998,1615.949951,66.247986
01-12-2014,96.699997,13.6,135.649994,137.399994,543.950012,29.059999,435.475006,88,1461.525024,61.44754
01-01-2015,100,14.55,135.600006,169.899994,552.700012,30.799999,427.549988,91.285004,1483.150024,67.648499
01-02-2015,95.400002,11.75,135.649994,155.949997,582.450012,30.165001,432.875,83.074997,1344.724976,64.902756
01-03-2015,90.800003,9.15,136.050003,158.25,542.025024,26.41,406.625,81.184998,1378.125,62.249149
01-04-2015,105.533333,6.95,144.600006,136.449997,609.150024,30.815001,407.049988,98.949997,1343.25,59.245419
01-05-2015,102.033333,5.95,146.800003,117.75,604.049988,31.434999,375.149994,99.949997,1431.300049,67.150948
01-06-2015,108.23333,6.55,155.850006,116.900002,624.325012,32.18,369.899994,104.25,1353.099976,67.445793
01-07-2015,102.466667,9.6,160,115.050003,585.400024,33.174999,365.225006,108.900002,1379.474976,67.897278
01-08-2015,103.766663,9.85,162.5,110.900002,536.924988,34.634998,376.475006,102.349998,1466.900024,70.246819
01-09-2015,89.766663,10.3,163.399994,137.350006,517.924988,35.825001,389.274994,48.700001,1730.275024,81.497002
01-10-2015,96.166664,10.7,171.100006,116.5,518.025024,35.945,399.950012,52.5,1682,96.653877
01-11-2015,100.166664,10.1,169.100006,114.599998,498.75,35.389999,381.575012,56.799999,1655.974976,108.152832
01-12-2015,99.400002,11.1,159.75,116,487.774994,32.259998,401.899994,69.650002,1516.449951,97.953041
01-01-2016,106.966667,13.05,158.399994,96.349998,505.299988,30.34,413.975006,66.849998,1443.150024,95.54821
